Port,Service
1,TCP Port Service Multiplexer (TCPMUX)
7,Echo Protocol
9,Discard Protocol
11,Active Users (SYSTAT)
13,Daytime Protocol
17,Quote of the Day (QOTD)
19,Character Generator Protocol (CHARGEN)
37,Time Protocol
39,Resource Location Protocol (RLP)
42,Host Name Server (Nameserver)
49,TACACS Login Host Protocol
53,Domain Name System (DNS)
70,Gopher Protocol
79,Finger Protocol
109,Post Office Protocol v2 (POP2)
111,Open Network Computing Remote Procedure Call (ONC RPC)
113,Identification Protocol (AUTH)
119,Network News Transfer Protocol (NNTP)
135,Microsoft End Point Mapper (EPMAP)
137,NetBIOS Name Service
138,NetBIOS Datagram Service
139,NetBIOS Session Service
143,Internet Message Access Protocol (IMAP)
161,Simple Network Management Protocol (SNMP)
162,SNMP Trap
179,Border Gateway Protocol (BGP)
194,Internet Relay Chat (IRC)
220,Internet Message Access Protocol v3 (IMAP3)
389,Lightweight Directory Access Protocol (LDAP)
427,Service Location Protocol (SLP)
443,HTTPS (Hypertext Transfer Protocol Secure)
465,SMTP over SSL
500,Internet Key Exchange (IKE)
514,Remote Shell (RSH)
515,Line Printer Daemon (LPD)
520,Routing Information Protocol (RIP)
554,Real-Time Streaming Protocol (RTSP)
587,SMTP (Mail Submission)
636,LDAP over SSL (LDAPS)
989,FTP over TLS/SSL (Data)
990,FTP over TLS/SSL (Control)
993,IMAP over SSL
995,POP3 over SSL
1080,SOCKS Proxy
1194,OpenVPN
1433,Microsoft SQL Server
1521,Oracle Database
1701,Layer 2 Tunneling Protocol (L2TP)
1723,Point-to-Point Tunneling Protocol (PPTP)
1812,RADIUS Authentication Protocol
1813,RADIUS Accounting Protocol
2049,Network File System (NFS)
2082,cPanel
2083,cPanel over SSL
3128,Squid Proxy
3260,iSCSI Target
3306,MySQL Database System
3389,Microsoft Remote Desktop Protocol (RDP)
5432,PostgreSQL Database System
5672,Advanced Message Queuing Protocol (AMQP)
5900,Virtual Network Computing (VNC)
6379,Redis
6667,Internet Relay Chat (IRC)
8000,Common HTTP Alternate
8080,HTTP Proxy
8443,HTTPS Alternative
8888,Alternate HTTP
